attribute-level,poster,artist,count,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2019,Sports Team,1,shared,Festival Republic Stage,26,2,5,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,G Flip,1,shared,Festival Republic Stage,27,3,5,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,The Japanese House,1,shared,Festival Republic Stage,27,3,5,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Sophie And The Giants,1,single,Festival Republic Stage,28,4,5,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Belako,1,single,Festival Republic Stage,29,5,5,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Octavian,1,single,BBC Radio 1Xtra Stage,30,1,6,T,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,D Block Europe,1,shared,BBC Radio 1Xtra Stage,31,2,6,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Maleek Berry,1,shared,BBC Radio 1Xtra Stage,31,2,6,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Saint Jhn,1,shared,BBC Radio 1Xtra Stage,32,3,6,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,K-Trap,1,shared,BBC Radio 1Xtra Stage,32,3,6,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Bexey,1,shared,BBC Radio 1Xtra Stage,32,3,6,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Aitch,1,shared,BBC Radio 1Xtra Stage,33,4,6,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,DJ Target,1,shared,BBC Radio 1Xtra Stage,33,4,6,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Danileigh,1,shared,BBC Radio 1Xtra Stage,33,4,6,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Blade Brown,1,shared,BBC Radio 1Xtra Stage,34,5,6,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Truemendous,1,shared,BBC Radio 1Xtra Stage,34,5,6,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Foo Fighters,1,single,main,1,1,1,T,T,yellow,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,A Day To Remember,1,single,main,2,2,1,F,T,yellow,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Frank Carter and the Rattlesnakes,1,single,main,3,3,1,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,The Distillers,1,single,main,4,4,1,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Lil Uzi Vert,1,single,main,5,5,1,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Mayday Parade,1,single,main,6,6,1,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Yungblud,1,shared,main,7,7,1,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Milk Teeth,1,shared,main,7,7,1,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Enter Shikari,1,single,main,8,8,1,F,T,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Bastille,1,single,BBC Radio 1 Stage,9,1,2,T,T,yellow,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,CHRVCHES,1,single,BBC Radio 1 Stage,10,2,2,F,T,yellow,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Sundara Karma,1,single,BBC Radio 1 Stage,11,3,2,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Lil Baby,1,shared,BBC Radio 1 Stage,12,4,2,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Gunna,1,shared,BBC Radio 1 Stage,12,4,2,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,The Amazons,1,single,BBC Radio 1 Stage,13,5,2,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Machine Gun Kelly,1,single,BBC Radio 1 Stage,14,6,2,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,The Story So Far,1,single,BBC Radio 1 Stage,15,7,2,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,The Faim,1,single,BBC Radio 1 Stage,16,8,2,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Denis Sulta,1,single,BBC Radio 1 Dance Stage,17,1,3,T,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Honey Dijon,1,shared,BBC Radio 1 Dance Stage,18,2,3,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Mella Dee,1,shared,BBC Radio 1 Dance Stage,18,2,3,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Anti Up,1,shared,BBC Radio 1 Dance Stage,19,3,3,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,James Organ,1,shared,BBC Radio 1 Dance Stage,19,3,3,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Everyone You Know,1,single,BBC Radio 1 Dance Stage,20,4,3,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Holy Goof,1,single,BBC Radio 1 Dance Stage,21,5,3,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Enter Shikari,1,single,The Pit,23,1,4,T,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Fidlar,1,single,The Pit,24,2,4,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,"nothing,nowhere",1,single,The Pit,25,3,4,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Stand Atlantic,1,shared,The Pit,26,4,4,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Hot Milk,1,shared,The Pit,26,4,4,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
