20,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2011,Bombay Bicycle Club,single,NME/BBC Radio 1 Stage,12,3,2,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,glassjaw,single,NME/BBC Radio 1 Stage,13,4,2,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Everything Everything,single,NME/BBC Radio 1 Stage,14,5,2,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,The Kills,single,NME/BBC Radio 1 Stage,15,6,2,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Edward Sharpe & The Magnetic Zeros,single,NME/BBC Radio 1 Stage,16,7,2,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Yuck,shared,NME/BBC Radio 1 Stage,17,8,2,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Funeral Party,shared,NME/BBC Radio 1 Stage,17,8,2,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,The Mighty Mighty Bosstones,shared,Lock Up Stage,18,1,3,T,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,The King Blues,shared,Lock Up Stage,18,1,3,T,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,The Bronx,shared,Lock Up Stage,19,2,3,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Capdown,shared,Lock Up Stage,19,2,3,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Leftover Crack,shared,Lock Up Stage,19,2,3,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Comeback Kid,shared,Lock Up Stage,20,3,3,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Boysetsfire,shared,Lock Up Stage,20,3,3,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Street Dogs,shared,Lock Up Stage,20,3,3,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,letlive.,shared,Lock Up Stage,20,3,3,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Teenage Bottlerocket,shared,Lock Up Stage,21,4,3,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Title Fight,shared,Lock Up Stage,21,4,3,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Sharks,shared,Lock Up Stage,21,4,3,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,The Midnight Beast,single,Festival Republic Stage,22,1,4,T,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Rival Schools,single,Festival Republic Stage,23,2,4,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,And So I Watch You From Afar,shared,Festival Republic Stage,24,3,4,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Little Roy,shared,Festival Republic Stage,24,3,4,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Anna Calvi,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,The Antlers,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Benjamin Francis Leftwich,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Big Deal,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Cerebral Ballzy,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Cherri Bomb,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Cloud Control,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Cocknbullkid,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,The Computers,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,The Coopers,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Cults,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,David Luiz,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
